Ligand_ID	Receptor_ID	TF_ID	Pathway	pathway_ID	Ligand_Symbol	Receptor_Symbol	TF_Symbol
7422	1956	2033	R-HSA-74160_2,R-HSA-212436_2,R-HSA-168256_4,R-HSA-73857_2,R-HSA-9006934_4,R-HSA-8864260_2	R-HSA-74160,R-HSA-212436,R-HSA-168256,R-HSA-73857,R-HSA-9006934,R-HSA-8864260	VEGFA	EGFR	EP300
100506658	100506658	2099	R-HSA-74160_2,R-HSA-212436_2,R-HSA-73857_2,R-HSA-8878171_2	R-HSA-74160,R-HSA-212436,R-HSA-73857,R-HSA-8878171	OCLN	OCLN	ESR1
3558	3559	2099	R-HSA-74160_2,R-HSA-212436_2,R-HSA-73857_2,R-HSA-8878171_2	R-HSA-74160,R-HSA-212436,R-HSA-73857,R-HSA-8878171	IL2	IL2RA	ESR1
356	355	2099	R-HSA-74160_4,R-HSA-212436_4,R-HSA-73857_4	R-HSA-74160,R-HSA-212436,R-HSA-73857	FASLG	FAS	ESR1
627	2064	2099	R-HSA-74160_2,R-HSA-212436_2,R-HSA-73857_2,R-HSA-9006934_2	R-HSA-74160,R-HSA-212436,R-HSA-73857,R-HSA-9006934	BDNF	ERBB2	ESR1
7422	1956	2099	R-HSA-74160_2,R-HSA-212436_2,R-HSA-73857_2,R-HSA-9006934_2,R-HSA-8866910_2,R-HSA-8864260_2	R-HSA-74160,R-HSA-212436,R-HSA-73857,R-HSA-9006934,R-HSA-8866910,R-HSA-8864260	VEGFA	EGFR	ESR1
100506658	100506658	2100	R-HSA-74160_4,R-HSA-212436_4,R-HSA-73857_4	R-HSA-74160,R-HSA-212436,R-HSA-73857	OCLN	OCLN	ESR2
3558	3559	2100	R-HSA-74160_4,R-HSA-212436_4,R-HSA-73857_4	R-HSA-74160,R-HSA-212436,R-HSA-73857	IL2	IL2RA	ESR2
356	355	2100	R-HSA-74160_4,R-HSA-212436_4,R-HSA-73857_4	R-HSA-74160,R-HSA-212436,R-HSA-73857	FASLG	FAS	ESR2
627	2064	2100	R-HSA-74160_4,R-HSA-212436_4,R-HSA-73857_4	R-HSA-74160,R-HSA-212436,R-HSA-73857	BDNF	ERBB2	ESR2
7422	1956	2100	R-HSA-74160_4,R-HSA-212436_4,R-HSA-73857_4	R-HSA-74160,R-HSA-212436,R-HSA-73857	VEGFA	EGFR	ESR2
100506658	100506658	2103	R-HSA-74160_4,R-HSA-212436_4,R-HSA-73857_4	R-HSA-74160,R-HSA-212436,R-HSA-73857	OCLN	OCLN	ESRRB
182	4851	2103	R-HSA-74160_3,R-HSA-212436_3,R-HSA-73857_3	R-HSA-74160,R-HSA-212436,R-HSA-73857	JAG1	NOTCH1	ESRRB
182	4853	2103	R-HSA-74160_3,R-HSA-212436_3,R-HSA-73857_3	R-HSA-74160,R-HSA-212436,R-HSA-73857	JAG1	NOTCH2	ESRRB
182	4854	2103	R-HSA-74160_3,R-HSA-212436_3,R-HSA-73857_3	R-HSA-74160,R-HSA-212436,R-HSA-73857	JAG1	NOTCH3	ESRRB
182	4855	2103	R-HSA-74160_3,R-HSA-212436_3,R-HSA-73857_3	R-HSA-74160,R-HSA-212436,R-HSA-73857	JAG1	NOTCH4	ESRRB
28514	4851	2103	R-HSA-74160_3,R-HSA-212436_3,R-HSA-73857_3	R-HSA-74160,R-HSA-212436,R-HSA-73857	DLL1	NOTCH1	ESRRB
28514	4853	2103	R-HSA-74160_3,R-HSA-212436_3,R-HSA-73857_3	R-HSA-74160,R-HSA-212436,R-HSA-73857	DLL1	NOTCH2	ESRRB
28514	4854	2103	R-HSA-74160_3,R-HSA-212436_3,R-HSA-73857_3	R-HSA-74160,R-HSA-212436,R-HSA-73857	DLL1	NOTCH3	ESRRB
